"workclass";"education";"marital_status";"occupation";"race";"gender";"full_or_part_emp";"capital_gains";"capital_losses";"state_prev_res";"fam_under_18";"country_self";"income_50k";"age";"relationship"
"self employed not incorporated";"some college but no degree";"married civilian spouse present";"executive admin and managerial";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";">50k";32;"husband"
"federal government";"some college but no degree";"married civilian spouse present";"adm support including clerical";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";34;"husband"
"private";"high school graduate";"married civilian spouse present";"adm support including clerical";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";58;"husband"
"private";"bachelors degree(ba ab bs)";"never married";"professional specialty";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";25;"own child"
"private";"high school graduate";"never married";"professional specialty";"white";"female";"pt for non econ reasons usually ft";0;0;"nonmover";"adult";"united states";"<=50k";32;"own child"
"private";"bachelors degree(ba ab bs)";"never married";"other service";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";25;"own child"
"self employed not incorporated";"associates degree academic program";"married civilian spouse present";"professional specialty";"white";"male";"unemployed full time";0;0;"nonmover";"adult";"united states";"<=50k";54;"husband"
"private";"high school graduate";"married civilian spouse present";"adm support including clerical";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";21;"wife"
"private";"high school graduate";"married civilian spouse present";"precision production craft & repair";"white";"male";"not in labor force";0;0;"nonmover";"adult";"united states";"<=50k";65;"wife"
"private";"high school graduate";"married civilian spouse present";"adm support including clerical";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";38;"wife"
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"technicians and related support";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";36;"husband"
"private";"9th grade";"widowed";"machine operators assmblrs & inspctrs";"white";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";41;"husband"
"private";"bachelors degree(ba ab bs)";"married civilian spouse present";"machine operators assmblrs & inspctrs";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";">50k";40;"husband"
"self employed not incorporated";"some college but no degree";"married civilian spouse present";"precision production craft & repair";"white";"male";"pt for non econ reasons usually ft";5178;0;"nonmover";"adult";"united states";"<=50k";49;"husband"
"private";"bachelors degree(ba ab bs)";"divorced";"executive admin and managerial";"white";"male";"children or armed forces";15020;0;"maine";"adult";"united states";">50k";50;"husband"
"private";"bachelors degree(ba ab bs)";"never married";"sales";"white";"male";"full time schedules";99999;0;"nonmover";"adult";"united states";">50k";39;"husband"
"local government";"prof school degree (md dds dvm llb jd)";"married civilian spouse present";"professional specialty";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";">50k";56;"husband"
"private";"high school graduate";"never married";"handlers equip cleaners etc";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";19;"own child"
"private";"bachelors degree(ba ab bs)";"never married";"executive admin and managerial";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";24;"husband"
"private";"high school graduate";"married civilian spouse present";"precision production craft & repair";"amer indian aleut or eskimo";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";56;"wife"
"private";"some college but no degree";"divorced";"machine operators assmblrs & inspctrs";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";40;"husband"
"private";"some college but no degree";"never married";"handlers equip cleaners etc";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";21;"own child"
"private";"12th grade";"never married";"sales";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";33;"own child"
"private";"doctorate degree(phd edd)";"married civilian spouse present";"professional specialty";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";44;"husband"
"local government";"bachelors degree(ba ab bs)";"married civilian spouse present";"professional specialty";"white";"female";"pt for non econ reasons usually ft";0;0;"nonmover";"adult";"united states";"<=50k";35;"wife"
"state government";"high school graduate";"married civilian spouse present";"professional specialty";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";37;"wife"
"private";"high school graduate";"married civilian spouse present";"handlers equip cleaners etc";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";45;"husband"
"private";"high school graduate";"never married";"machine operators assmblrs & inspctrs";"white";"male";"pt for econ reasons usually ft";0;0;"nonmover";"adult";"united states";"<=50k";38;"own child"
"self employed not incorporated";"bachelors degree(ba ab bs)";"married civilian spouse present";"professional specialty";"white";"male";"full time schedules";3464;0;"nonmover";"adult";"united states";"<=50k";59;"husband"
"private";"some college but no degree";"divorced";"sales";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";68;"husband"
"private";"high school graduate";"never married";"other service";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";29;"husband"
"private";"some college but no degree";"never married";"sales";"white";"female";"unemployed part  time";0;0;"nonmover";"adult";"united states";"<=50k";20;"own child"
"private";"high school graduate";"divorced";"handlers equip cleaners etc";"white";"male";"children or armed forces";0;0;"oklahoma";"adult";"united states";"<=50k";45;"husband"
"private";"high school graduate";"never married";"sales";"white";"female";"unemployed full time";0;0;"nonmover";"adult";"united states";"<=50k";29;"husband"
"private";"high school graduate";"married civilian spouse present";"machine operators assmblrs & inspctrs";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"mexico";"<=50k";38;"husband"
"private";"high school graduate";"divorced";"farming forestry and fishing";"asian or pacific islander";"male";"children or armed forces";0;0;"nonmover";"adult";"philippines";"<=50k";26;"husband"
"private";"some college but no degree";"separated";"other service";"white";"male";"pt for econ reasons usually ft";0;0;"nonmover";"adult";"united states";"<=50k";32;"husband"
"private";"some college but no degree";"married civilian spouse present";"sales";"black";"female";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";34;"husband"
"self employed not incorporated";"some college but no degree";"married civilian spouse present";"executive admin and managerial";"white";"male";"full time schedules";0;0;"nonmover";"adult";"united states";"<=50k";32;"husband"
"private";"bachelors degree(ba ab bs)";"separated";"precision production craft & repair";"white";"male";"children or armed forces";0;0;"nonmover";"adult";;"<=50k";55;"husband"
"private";"10th grade";"never married";"sales";"white";"female";"children or armed forces";0;0;"nonmover";"both parents present";"united states";"<=50k";17;"own child"
"private";"high school graduate";"married civilian spouse present";"adm support including clerical";"white";"female";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";24;"wife"
"local government";"high school graduate";"married civilian spouse present";"professional specialty";"white";"male";"children or armed forces";0;0;"nonmover";"adult";"united states";"<=50k";61;"husband"
"self employed not incorporated";"high school graduate";"married civilian spouse present";"precision production craft & repair";"white";"male";"full time schedules";0;0;"nonmover";"adult";"england";"<=50k";44;"wife"
